ResourceName,ResourceType,Owner,Environment,ExpiryDate
rg-dev01,ResourceGroup,Vikram,Dev,9/3/2026
rg-dev02,ResourceGroup,Amit,Dev,9/5/2026
rg-dev03,ResourceGroup,Rahul,Dev,9/7/2026
rg-dev04,ResourceGroup,Neha,Dev,9/10/2026
rg-dev05,ResourceGroup,Priya,Dev,9/12/2026
rg-test01,ResourceGroup,Rohit,Test,4/24/2026
rg-test02,ResourceGroup,Ankit,Test,9/8/2026
rg-test03,ResourceGroup,Sumit,Test,9/15/2026
rg-test04,ResourceGroup,Pooja,Test,9/20/2026
rg-test05,ResourceGroup,Deepak,Test,9/25/2026
vm-dev01,VirtualMachine,Vikram,Dev,9/6/2026
vm-dev02,VirtualMachine,Amit,Dev,9/18/2026
vm-dev03,VirtualMachine,Rahul,Dev,9/30/2026
vm-dev04,VirtualMachine,Neha,Dev,10/5/2026
vm-dev05,VirtualMachine,Priya,Dev,10/12/2026
vm-test01,VirtualMachine,Rohit,Test,9/5/2026
vm-test02,VirtualMachine,Ankit,Test,9/11/2026
vm-test03,VirtualMachine,Sumit,Test,9/1/2026
vm-test04,VirtualMachine,Pooja,Test,10/1/2026
vm-test05,VirtualMachine,Deepak,Test,10/15/2026
vnet-dev01,VirtualNetwork,Vikram,Dev,9/9/2026
vnet-dev02,VirtualNetwork,Amit,Dev,9/22/2026
vnet-dev03,VirtualNetwork,Rahul,Dev,10/3/2026
vnet-dev04,VirtualNetwork,Neha,Dev,10/18/2026
vnet-dev05,VirtualNetwork,Priya,Dev,11/1/2026
storage-dev01,StorageAccount,Rohit,Dev,9/4/2026
storage-dev02,StorageAccount,Ankit,Dev,9/13/2026
storage-dev03,StorageAccount,Sumit,Dev,9/28/2026
storage-test01,StorageAccount,Pooja,Test,10/8/2026
storage-test02,StorageAccount,Deepak,Test,9/1/2026
app-dev01,AppService,Vikram,Dev,9/7/2026
app-dev02,AppService,Amit,Dev,9/14/2026
app-dev03,AppService,Rahul,Dev,9/27/2026
app-test01,AppService,Neha,Test,10/5/2026
app-test02,AppService,Priya,Test,10/25/2026
sql-dev01,SQLDatabase,Rohit,Dev,9/6/2026
sql-dev02,SQLDatabase,Ankit,Dev,9/19/2026
sql-dev03,SQLDatabase,Sumit,Dev,10/2/2026
sql-test01,SQLDatabase,Pooja,Test,10/14/2026
sql-test02,SQLDatabase,Deepak,Test,10/30/2026
lb-dev01,LoadBalancer,Vikram,Dev,9/8/2026
lb-dev02,LoadBalancer,Amit,Dev,9/21/2026
lb-test01,LoadBalancer,Rahul,Test,10/4/2026
lb-test02,LoadBalancer,Neha,Test,10/16/2026
agw-dev01,ApplicationGateway,Priya,Dev,9/12/2026
agw-dev02,ApplicationGateway,Rohit,Dev,9/26/2026
agw-test01,ApplicationGateway,Ankit,Test,10/10/2026
agw-test02,ApplicationGateway,Sumit,Test,10/22/2026
acr-dev01,ContainerRegistry,Pooja,Dev,9/5/2026
acr-prod01,ContainerRegistry,Deepak,Prod,12/31/2026
